ema_span,vol_window,vol_mult,min_half_spread,inv_skew,pnl,sharpe,max_dd,final_pos
5,10,2.0,1.0,0.0,128.0,0.0412494957960335,-390.0,13
20,20,1.0,2.0,0.0,1227.0,0.04111940283972061,-2244.0,50
30,10,0.5,3.0,0.0,1235.0,0.04063016800328343,-2100.0,50
30,5,0.5,3.0,0.0,1227.0,0.040441695072350056,-2100.0,50
20,5,2.0,2.0,1.0,49.0,0.040412760514562954,-207.0,0
5,20,0.5,1.0,0.0,1198.0,0.03998478664894765,-2144.0,50
10,5,0.5,2.0,0.0,1223.0,0.039616325061598255,-2186.0,50
5,10,2.0,2.0,0.0,164.0,0.0392513760188408,-570.0,19
10,10,3.0,2.0,0.0,30.0,0.03771050035619469,-150.0,5
10,10,3.0,1.0,0.0,30.0,0.03771050035619469,-150.0,5
5,10,1.0,1.0,0.0,368.0,0.03763092726792506,-1087.0,40
10,10,3.0,1.0,1.0,20.0,0.037475565552873034,-138.0,0
10,10,3.0,2.0,1.0,20.0,0.037475565552873034,-138.0,0
20,5,1.0,3.0,1.0,65.0,0.03692853474990459,-291.0,2
20,5,1.5,2.0,1.0,55.0,0.03617696615681673,-219.0,2
5,10,0.5,2.0,0.0,1007.0,0.035862668883535814,-2300.0,50
5,10,1.5,2.0,0.0,344.0,0.035761901136200466,-1130.0,35
30,5,1.0,5.0,0.5,46.0,0.03532126186819602,-160.0,0
10,20,1.0,1.0,0.0,1018.0,0.03531421990859372,-2166.0,50
5,5,1.0,2.0,0.0,456.0,0.034902560741339086,-1410.0,47
5,10,1.5,1.0,0.0,303.0,0.03486591707522067,-986.0,29
5,20,0.5,2.0,0.0,989.0,0.03485415328908869,-2178.0,50
30,5,1.5,2.0,0.0,983.0,0.0338147452090738,-2240.0,47
30,5,1.5,1.0,0.0,976.0,0.033573980003320146,-2240.0,47
30,10,1.5,5.0,0.5,44.0,0.033458035457779804,-160.0,2
